startcong,district,statename,pop_density
60,1,Oklahoma,77164.65435439505
60,2,Oklahoma,40328.336409483236
60,3,Oklahoma,67538.89325200164
60,4,Oklahoma,51067.44330329845
60,5,Oklahoma,55951.58933758101
61,1,Oklahoma,80252.73046764906
61,2,Oklahoma,41942.24854834197
61,3,Oklahoma,70241.75306148433
61,4,Oklahoma,53111.12707469977
61,5,Oklahoma,58190.73325622593
62,1,Oklahoma,83244.13791452031
62,2,Oklahoma,43505.63902633464
62,3,Oklahoma,72860.00295734449
62,4,Oklahoma,55090.835679219184
62,5,Oklahoma,60359.783353178624
63,0,Oklahoma,12413.55606117074
63,1,Oklahoma,86225.7898079034
63,2,Oklahoma,45063.93098809314
63,3,Oklahoma,75469.71423806845
63,4,Oklahoma,57064.088074236766
63,5,Oklahoma,62521.75976170368
64,6,Minnesota,46239.675499545396
64,7,Minnesota,79493.18467926205
64,8,Minnesota,42358.266404352165
64,9,Minnesota,47811.02055700826
64,10,Minnesota,146679.90613031542
64,1,Minnesota,132479.9167761286
64,2,Minnesota,94018.12624292736
64,3,Minnesota,154489.75415866537
64,4,Minnesota,4595010.080167744
64,5,Minnesota,19014512.374496885
65,6,Minnesota,47491.48458901452
65,7,Minnesota,81645.23894991381
65,8,Minnesota,43504.99726537743
65,9,Minnesota,49105.36939193135
65,10,Minnesota,150650.8518117619
65,1,Minnesota,136066.43770649502
65,2,Minnesota,96563.40243127149
65,3,Minnesota,158672.12949751414
65,4,Minnesota,4719407.047110404
65,5,Minnesota,19529276.787634958
66,6,Minnesota,48064.50226920502
66,7,Minnesota,82630.34535007254
66,8,Minnesota,44029.91521278283
66,9,Minnesota,49697.859710929944
66,10,Minnesota,152468.55876219625
66,1,Minnesota,137708.17359159296
66,2,Minnesota,97728.50681432689
66,3,Minnesota,160586.61872315907
66,4,Minnesota,4776349.964380996
66,5,Minnesota,19764911.04875547
67,6,Minnesota,49915.0826424687
67,7,Minnesota,85811.78046583399
67,8,Minnesota,45725.1558390744
67,9,Minnesota,51611.32764323357
67,10,Minnesota,158338.90608847863
67,1,Minnesota,143010.2162895336
67,2,Minnesota,101491.25162766146
67,3,Minnesota,166769.52774723232
67,4,Minnesota,4960249.080831128
67,5,Minnesota,20525900.026884638
68,6,Minnesota,51482.83326186629
68,7,Minnesota,88506.98730222334
68,8,Minnesota,47161.3077513577
68,9,Minnesota,53232.35452723534
68,10,Minnesota,163312.07061017264
