year,group,nominate_dim1
1901,0,-0.09233333333333332
1901,1,0.07700000000000001
1901,2,-0.4804999999999999
1901,3,-0.362
1903,0,-0.15931999999999996
1903,1,0.0008399999999999976
1903,2,0.3003033333333333
1903,3,0.15697333333333333
1905,0,-0.12532333333333331
1905,1,0.07887666666666666
1905,2,0.3697166666666667
1905,3,0.28342
1907,0,-0.13158666666666666
1907,1,-0.05864666666666668
1907,2,0.21130333333333332
1907,3,0.23904666666666669
1909,0,-0.07655866666666668
1909,1,-0.10451999999999999
1909,2,0.13325666666666666
1909,3,0.20776933333333336
1911,0,-0.14759930555555553
1911,1,-0.16089000000000003
1911,2,-0.0006006666666666594
1911,3,0.04111133333333334
1913,0,-0.05755909090909092
1913,1,-0.20833400000000002
1913,2,-0.062310000000000004
1913,3,-0.041617999999999995
1915,0,-0.061615277777777776
1915,1,-0.13324999999999998
1915,2,0.091408
1915,3,0.11284599999999997
1917,0,-0.013857638888888893
1917,1,-0.13052999999999998
1917,2,0.13469800000000004
1917,3,0.12152199999999999
1919,0,0.03607200000000001
1919,1,-0.08498266666666669
1919,2,0.21123199999999998
1919,3,0.105918
1921,0,0.11678466666666668
1921,1,0.018692000000000004
1921,2,0.2833
1921,3,0.24272999999999992
1923,0,0.059497999999999995
1923,1,-0.05766266666666665
1923,2,0.16394199999999998
1923,3,0.07782066666666668
1925,0,0.08101999999999997
1925,1,-0.059308
1925,2,0.2374173333333333
1925,3,0.11602199999999994
1927,0,0.06565733333333332
1927,1,-0.05142800000000001
1927,2,0.19766000000000003
1927,3,0.04841599999999998
1929,0,0.09410790476190474
1929,1,0.010075999999999998
1929,2,0.2624606666666667
1929,3,0.05171666666666666
1931,0,0.06986733333333336
1931,1,-0.04115000000000002
1931,2,0.122146
1931,3,-0.00040133333333332245
1933,0,-0.12566466666666667
1933,1,-0.08202733333333331
1933,2,0.006558666666666673
1933,3,-0.16085000000000002
1935,0,-0.11289933333333332
1935,1,-0.072542
1935,2,-0.045084
1935,3,-0.228708
1937,0,-0.10831733333333336
1937,1,-0.048445333333333326
1937,2,-0.08298599999999999
1937,3,-0.297244
1939,0,-0.042237333333333335
1939,1,0.0021101904761904777
1939,2,0.09365799999999998
1939,3,-0.1880673333333333
1941,0,-0.012395999999999996
1941,1,0.014718000000000002
1941,2,0.05067133333333333
1941,3,-0.22381666666666664
1943,0,0.06560333333333335
1943,1,0.02458800000000001
1943,2,0.16091933333333333
1943,3,-0.17195533333333335
1945,0,0.05909533333333335
1945,1,0.022573999999999997
1945,2,0.09737780952380953
1945,3,-0.2334606666666666
1947,0,0.10262600000000002
1947,1,0.03478266666666666
1947,2,0.15482733333333334
1947,3,-0.066682
1949,0,0.024466666666666664
1949,1,-0.006073333333333328
1949,2,-0.01805466666666667
1949,3,-0.23889333333333332
1951,0,0.06362266666666667
1951,1,0.004634000000000004
1951,2,0.053492000000000005
1951,3,-0.172256
1953,0,0.07139066666666666
1953,1,0.04818200000000001
1953,2,0.066214
1953,3,-0.129892
1955,0,0.04561866666666666
1955,1,0.019172
1955,2,0.03849399999999999
1955,3,-0.17969066666666667
1957,0,-0.04171933333333334
1957,1,0.02106733333333334
1957,2,0.045932666666666656
1957,3,-0.156934
1959,0,-0.07988599999999998
1959,1,-0.05977800000000001
1959,2,-0.020543999999999996
1959,3,-0.213282
1961,0,-0.027357333333333334
1961,1,-0.015081523809523807
1961,2,0.012137333333333349
1961,3,-0.2216186666666667
1963,0,0.007019999999999999
1963,1,0.04101
1963,2,-0.03380799999999999
1963,3,-0.25486400000000003
1965,0,-0.05795866666666665
1965,1,-0.0030566666666666563
1965,2,-0.12154799999999998
1965,3,-0.28262466666666675
1967,0,-0.005743333333333334
1967,1,0.053588000000000004
1967,2,-0.03760799999999998
1967,3,-0.261116
1969,0,-0.021730666666666665
1969,1,0.08954066666666666
1969,2,-0.03386733333333333
1969,3,-0.27182399999999995
1971,0,-0.06444333333333335
1971,1,0.07239866666666667
1971,2,-0.038434666666666666
1971,3,-0.276974
1973,0,-0.024526666666666655
1973,1,0.061844761904761916
1973,2,-0.04483333333333332
1973,3,-0.2593586666666667
1975,0,-0.07425266666666668
1975,1,0.0050199999999999915
1975,2,-0.08637399999999999
1975,3,-0.32779600000000003
1977,0,-0.05386200000000001
1977,1,0.007609999999999989
1977,2,-0.09929400000000001
1977,3,-0.3064051428571429
1979,0,-0.008726000000000001
1979,1,0.052842000000000014
1979,2,-0.09304800000000002
1979,3,-0.29641733333333337
1981,0,0.06249733333333337
1981,1,0.10286399999999998
1981,2,-0.025412
1981,3,-0.271552
1983,0,0.07003133333333332
1983,1,0.036961999999999995
1983,2,-0.030817999999999998
1983,3,-0.30011066666666664
1985,0,0.09114866666666666
1985,1,0.040036
1985,2,-0.0014920000000000022
1985,3,-0.28290333333333334
1987,0,0.07875000000000004
1987,1,0.03893800000000001
1987,2,-0.02265533333333334
1987,3,-0.2698666666666667
1989,0,0.07443666666666669
1989,1,0.056094
1989,2,-0.039636666666666674
1989,3,-0.2675086666666666
1991,0,0.06316933333333333
1991,1,0.023588666666666657
1991,2,-0.04825
1991,3,-0.2661226666666667
1993,0,0.020870666666666662
1993,1,0.07295066666666666
1993,2,-0.008416666666666668
1993,3,-0.25441600000000003
1995,0,0.17593733333333333
1995,1,0.21383666666666667
1995,2,0.03721133333333333
1995,3,-0.21856199999999995
1997,0,0.192952
1997,1,0.19177999999999998
1997,2,-0.0003386666666666649
1997,3,-0.24863933333333332
1999,0,0.19373133333333337
1999,1,0.192514
1999,2,-0.014808666666666661
1999,3,-0.25043800000000005
2001,0,0.19038066666666664
2001,1,0.20770066666666667
2001,2,-0.00830666666666666
2001,3,-0.26785200000000003
2003,0,0.1579886666666667
2003,1,0.21302400000000002
2003,2,0.099274
2003,3,-0.30884
2005,0,0.16586933333333337
2005,1,0.246662
2005,2,0.071906
2005,3,-0.2863453333333334
2007,0,0.11112866666666665
2007,1,0.2091793333333333
2007,2,0.013113999999999997
2007,3,-0.31324466666666667
2009,0,0.08746933333333332
2009,1,0.18440066666666666
2009,2,-0.026181333333333338
2009,3,-0.319374
2011,0,0.26568066666666673
2011,1,0.31765400000000005
2011,2,0.05534333333333336
2011,3,-0.29957133333333336
